product_master_id,subproduct_id,operation_id,operation_name,sub_operation
1,31,,QAD,FINAL INSPECTION
,,,,
19,32,,Raw Material,Bandsaw cutting
19,32,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
19,32,,Heat Treatment,Roll Hardening
19,32,,Manual lathe-1,Centering + facing+Length+drilling+ jounal turning both side.
19,32,,Hard Turning,Barrel+Short side Journal hard turning+grove+thread 1st side. <br> Long side Journal hard turning+grove+thread-2nd side.
19,32,,Milling,Flate+Keyway+Drill work
19,32,,Grinding,Berral+Jouranal-1st Side <br> All Journal - 2nd Side
19,32,,Manual lathe-2,Final rework of Step+Groove.
19,32,,Fitter work,Final tapping work (Manual)
19,32,,QAD,FINAL INSPECTION
,,,,
2,33,,Raw Material,Bandsaw cutting
2,33,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
2,33,,Drill+Tap,Drilling+Tapping -both Side
2,33,,Heat Treatment,Roll Hardening
2,33,,Hard Turning-1,Length+Facing+Centering both side
2,33,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side. <br> Long side Journal hard turning+grove+thread-2nd side.
2,33,,Milling,Flate+Keyway+Drill work+Face Spline
2,33,,Grinding,Berral+Jouranal-1st Side <br> All Journal - 2nd Side
2,33,,Other Work,Shink Fitting on journal diameter (Manual)
2,33,,Manual lathe-1,Final rework in necring -1st & 2nd side.
2,33,,Fitter work,Final tapping work (Manual)
2,33,,QAD,FINAL INSPECTION
